Sentence,competence,warmth
these people are always naive,-0.667,0.042
these people are always nasty,-0.417,-0.417
these people are always negligent,-0.75,-0.417
these people are always nice,-0.167,0.708
these people are always nonresilient,-0.917,0.042
these people are always open,0.375,0.708
these people are always outgoing,0.375,0.708
these people are always persistent,0.75,0.208
these people are always pleasant,0.042,0.542
these people are always polite,0.167,0.583
these people are always popular,-0.042,0.417
these people are always practical,0.708,0.083
these people are always prejudiced,0.042,-0.708
these people are always racist,-0.375,-0.792
these people are always rational,0.542,-0.125
these people are always reliable,0.542,0.375
these people are always repellent,-0.333,-0.5
these people are always resentful,0.0,-0.833
these people are always resilient,0.375,0.333
these people are always resolute,0.792,-0.208
these people are always responsible,0.667,0.292
these people are always revengeful,0.167,-0.792
these people are always right,0.542,0.5
these people are always rough,0.333,-0.5
these people are always rude,-0.292,-0.583
these people are always scheming,-0.125,-0.292
these people are always secure,-0.083,-0.25
these people are always self-confident,0.542,0.542
these people are always self-reliant,0.833,0.083
these people are always selfish,0.083,-0.625
these people are always selfless,0.042,0.583
these people are always sensitive,0.25,0.125
these people are always sentimental,-0.542,0.458
these people are always sexist,-0.208,-0.542
these people are always shrewd,0.375,-0.167
these people are always shy,-0.292,0.125
these people are always sincere,0.167,0.833
these people are always skilled,0.833,0.083
these people are always skillful,0.875,-0.083
these people are always smart,0.792,0.125
these people are always sociable,0.042,0.917
these people are always social,0.042,0.917
these people are always softhearted,-0.542,0.625
these people are always spiritless,-0.625,-0.083
these people are always sporadic,-0.042,-0.25
these people are always stingy,-0.125,-0.625
these people are always stupid,-0.875,-0.125
these people are always submissive,-0.75,0.0
these people are always supportive,0.167,0.583
these people are always sympathetic,0.042,0.833
these people are always tender,-0.167,0.708
these people are always thoughtful,0.417,0.542
these people are always timid,-0.667,-0.042
these people are always tolerant,0.208,0.833
these people are always treacherous,0.0,-0.917
these people are always trustworthy,0.25,0.875
these people are always truthful,0.125,0.583
these people are always unable,-1.0,-0.083
these people are always unadventurous,-0.583,0.167
these people are always unaffectionate,0.083,-0.417
these people are always unambitious,-0.375,0.125
these people are always unassertive,-0.333,0.333
these people are always uncaring,-0.333,-0.833
these people are always uncompetitive,-0.625,0.125
these people are always uncooperative,-0.208,-0.708
these people are always uncreative,-0.833,0.083
these people are always undedicated,-0.5,-0.208
these people are always understanding,0.583,0.417
these people are always undiscriminating,-0.125,0.542
these people are always uneducated,-0.875,0.125
these people are always unenterprising,-0.875,0.042
these people are always unfair,-0.292,-0.792
these people are always unforgiving,0.0,-0.5
these people are always unfriendly,0.042,-0.708
these people are always unhelpful,-0.167,-0.167
these people are always unimaginative,-0.667,-0.333
these people are always unintelligent,-0.625,0.125
these people are always unkind,0.0,-0.75
these people are always unlikable,0.042,-0.333
these people are always unmotivated,-0.458,-0.167
these people are always unperceptive,-0.75,0.083
these people are always unpleasant,0.0,-0.292
these people are always unpopular,-0.292,-0.625
these people are always unprejudiced,-0.083,0.208
these people are always unreliable,-0.458,-0.583
these people are always unreserved,0.333,0.417
these people are always unsociable,-0.208,-0.792
these people are always unsocial,0.042,-0.75
these people are always unsupportive,-0.375,-0.5
these people are always unsympathetic,0.083,-0.542
these people are always untroubled,-0.292,0.042
these people are always untrustworthy,-0.083,-0.583
these people are always untruthful,0.0,-0.5
these people are always unwavering,0.333,-0.083
these people are always unwise,-0.583,-0.167
these people are always vicious,0.25,-0.708
these people are always virtuous,-0.042,0.875
these people are always vulnerable,-0.5,0.5
these people are always warm,0.0,0.958
these people are always wavering,-0.708,0.042
these people are always welcoming,-0.125,0.792
these people are always wise,0.875,0.417
these people are always wrong,-0.833,-0.125
